shipping_id,order_id,shipping_date,return_date,shipping providers,delivery_status
54,5821,2022-12-12,,fedex,Delivered
55,19759,2022-12-11,,fedex,Delivered
56,11104,2022-04-27,,fedex,Delivered
57,6785,2023-05-22,,fedex,Delivered
58,10564,2023-05-22,,fedex,Delivered
59,6289,2020-05-17,,fedex,Delivered
60,2909,2023-08-31,,fedex,Delivered
61,7174,2023-01-15,,fedex,Delivered
62,1367,2022-01-08,,fedex,Delivered
63,729,2021-04-03,,fedex,Delivered
64,9636,2020-12-05,,fedex,Delivered
65,10662,2020-06-12,,fedex,Delivered
66,12024,2020-06-11,,fedex,Delivered
67,3939,2022-11-17,,fedex,Delivered
68,3645,2022-05-03,,fedex,Delivered
69,8474,2021-11-04,,fedex,Delivered
70,13075,2020-08-18,,fedex,Delivered
71,9074,2022-10-19,,fedex,Delivered
72,11204,2022-04-05,,fedex,Delivered
73,9488,2020-11-02,,fedex,Delivered
74,16046,2020-01-18,,fedex,Delivered
75,6633,2023-10-04,,fedex,Delivered
76,8038,2020-05-15,,fedex,Delivered
77,8964,2023-06-30,,fedex,Delivered
78,13205,2020-03-03,,fedex,Delivered
79,12634,2024-01-08,,fedex,Delivered
80,5007,2024-01-23,,fedex,Delivered
81,7220,2023-11-22,,fedex,Delivered
82,489,2022-11-01,,fedex,Delivered
83,14679,2022-08-24,,fedex,Delivered
84,2709,2022-05-06,,fedex,Delivered
85,19599,2022-04-24,,fedex,Delivered
86,17140,2023-08-23,,fedex,Delivered
87,2601,2023-06-19,,fedex,Delivered
88,4205,2023-02-19,,fedex,Delivered
89,15928,2022-05-23,,fedex,Delivered
90,4449,2022-04-23,,fedex,Delivered
91,3361,2022-07-07,,fedex,Delivered
92,4875,2021-11-30,,fedex,Delivered
93,5535,2021-10-04,,fedex,Delivered
94,3323,2024-01-30,,fedex,Delivered
95,5837,2023-10-26,,fedex,Delivered
96,18949,2021-01-12,,fedex,Delivered
97,5957,2020-10-15,,fedex,Delivered
98,9442,2020-05-18,,fedex,Delivered
99,18433,2023-09-06,,fedex,Delivered
100,7248,2023-04-02,,fedex,Delivered
101,11046,2022-12-19,,fedex,Delivered
102,1347,2023-08-03,,fedex,Delivered
103,18357,2023-05-09,,fedex,Delivered
104,13745,2020-02-04,,fedex,Delivered
105,8628,2023-11-17,,fedex,Delivered
106,15025,2022-10-04,,fedex,Delivered
107,4761,2023-04-27,,fedex,Delivered
108,3309,2021-10-07,,fedex,Delivered
109,12174,2020-01-18,,fedex,Delivered
110,15187,2020-01-12,,fedex,Delivered
111,87,2023-10-19,,fedex,Delivered
112,14627,2023-07-18,,fedex,Delivered
113,14527,2022-09-04,,fedex,Delivered
114,8382,2021-09-30,,fedex,Delivered
115,13217,2020-12-27,,fedex,Delivered
116,15625,2020-08-20,,fedex,Delivered
117,17556,2020-06-24,,fedex,Delivered
118,1095,2020-01-05,,fedex,Delivered
119,13717,2023-06-22,,fedex,Delivered
120,521,2022-04-26,,fedex,Delivered
121,19929,2022-02-15,,fedex,Delivered
122,10582,2021-10-12,,fedex,Delivered
123,16242,2020-02-27,,fedex,Delivered
124,15724,2022-09-11,,fedex,Delivered
125,8720,2020-06-20,,fedex,Delivered
126,16628,2024-01-24,,fedex,Delivered
127,6323,2023-01-19,,fedex,Delivered
128,109,2024-01-08,,fedex,Delivered
129,3049,2021-01-27,,fedex,Delivered
130,15814,2021-01-28,,fedex,Delivered
131,14319,2020-09-08,,fedex,Delivered
132,15716,2020-08-23,,fedex,Delivered
133,18913,2023-02-21,,fedex,Delivered
134,3671,2022-05-06,,fedex,Delivered
135,17086,2023-10-05,,fedex,Delivered
136,12876,2022-07-10,,fedex,Delivered
137,2379,2020-03-16,,fedex,Delivered
138,14965,2023-01-21,,fedex,Delivered
139,1733,2023-01-09,,fedex,Delivered
140,17106,2021-05-01,,fedex,Delivered
141,10428,2020-07-17,,fedex,Delivered
142,12844,2023-06-24,,fedex,Delivered
143,11418,2021-12-04,,fedex,Delivered
144,7132,2023-10-05,,fedex,Delivered
145,9728,2023-07-17,,fedex,Delivered
146,8736,2022-03-06,,fedex,Delivered
147,17699,2020-12-21,,fedex,Delivered
148,527,2024-01-05,,fedex,Delivered
149,11588,2023-08-01,,fedex,Delivered
150,17877,2022-12-24,,fedex,Delivered
151,1109,2022-10-06,,fedex,Delivered
152,17400,2020-09-22,,fedex,Delivered
153,2841,2023-04-18,,fedex,Delivered
154,19589,2022-11-20,,fedex,Delivered
155,9002,2021-08-30,,fedex,Delivered
156,13225,2020-07-07,,fedex,Delivered
157,423,2023-12-21,,fedex,Delivered
158,10622,2022-11-14,,fedex,Delivered
159,7444,2022-06-21,,fedex,Delivered
160,1239,2022-06-07,,fedex,Delivered
161,3815,2021-10-04,,fedex,Delivered
162,3475,2021-09-01,,fedex,Delivered
163,8782,2023-03-24,,fedex,Delivered
164,17230,2021-12-16,,fedex,Delivered
165,4989,2020-06-05,,fedex,Delivered
166,14433,2023-01-13,,fedex,Delivered
167,14137,2023-04-06,,fedex,Delivered
168,2965,2023-04-03,,fedex,Delivered
169,12110,2022-03-30,,fedex,Delivered
170,6589,2020-03-24,,fedex,Delivered
171,13223,2023-04-04,,fedex,Delivered
172,5345,2023-03-03,,fedex,Delivered
173,19961,2021-09-18,,fedex,Delivered
174,11404,2021-01-31,,fedex,Delivered
175,7046,2023-09-01,,fedex,Delivered
176,13421,2023-06-14,,fedex,Delivered
177,289,2020-01-31,,fedex,Delivered
178,4479,2023-05-20,,fedex,Delivered
179,6217,2022-12-17,,fedex,Delivered
180,105,2022-05-08,,fedex,Delivered
181,16612,2022-05-01,,fedex,Delivered
182,17983,2022-03-05,,fedex,Delivered
183,13127,2021-09-15,,fedex,Delivered
184,11254,2021-07-09,,fedex,Delivered
185,19661,2020-07-14,,fedex,Delivered
186,18053,2022-09-02,,fedex,Delivered
187,15373,2022-08-10,,fedex,Delivered
188,6867,2021-01-08,,fedex,Delivered
189,5991,2023-12-08,,fedex,Delivered
190,19539,2023-11-24,,fedex,Delivered
191,11432,2023-10-29,,fedex,Delivered
192,18469,2023-06-05,,fedex,Delivered
193,16756,2021-09-18,,fedex,Delivered
194,5749,2021-05-04,,fedex,Delivered
195,18815,2020-02-08,,fedex,Delivered
196,1079,2023-08-13,,fedex,Delivered
197,9936,2022-09-18,,fedex,Delivered
198,3175,2023-04-07,,fedex,Delivered
199,14735,2022-05-21,,fedex,Delivered
200,13643,2021-11-18,,fedex,Delivered
201,14487,2020-06-14,,fedex,Delivered
202,5875,2023-03-03,,fedex,Delivered
203,10162,2022-02-08,,fedex,Delivered
204,8954,2021-01-11,,fedex,Delivered
205,18121,2020-11-11,,fedex,Delivered
206,13549,2020-03-07,,fedex,Delivered
207,14463,2022-06-11,,fedex,Delivered
208,1583,2021-11-03,,fedex,Delivered
209,16684,2021-10-17,,fedex,Delivered
210,11266,2021-07-26,,fedex,Delivered
211,12108,2020-12-02,,fedex,Delivered
212,15405,2020-04-16,,fedex,Delivered
213,19833,2023-07-08,,fedex,Delivered
214,23,2023-04-20,,fedex,Delivered
215,8096,2022-12-15,,fedex,Delivered
216,10598,2021-09-07,,fedex,Delivered
217,2427,2022-11-13,,fedex,Delivered
218,12058,2023-05-18,,fedex,Delivered
219,5099,2021-05-21,,fedex,Delivered
220,3653,2020-08-08,,fedex,Delivered
221,5257,2020-03-13,,fedex,Delivered
222,2005,2022-05-11,,fedex,Delivered
223,8026,2021-11-22,,fedex,Delivered
224,15593,2021-02-20,,fedex,Delivered
225,10896,2022-12-09,,fedex,Delivered
226,19551,2022-11-01,,fedex,Delivered
227,18017,2020-03-26,,fedex,Delivered
228,1541,2024-01-01,,fedex,Delivered
229,9132,2023-11-25,,fedex,Delivered
230,2451,2023-01-27,,fedex,Delivered
231,12832,2022-04-01,,fedex,Delivered
232,11778,2021-03-21,,fedex,Delivered
233,13057,2021-03-16,,fedex,Delivered
234,12884,2023-11-18,,fedex,Delivered
235,3239,2023-09-10,,fedex,Delivered
236,11066,2022-02-23,,fedex,Delivered
237,16156,2020-10-30,,fedex,Delivered
238,9876,2023-08-18,,fedex,Delivered
239,7716,2022-11-10,,fedex,Delivered
240,10948,2022-08-27,,fedex,Delivered
241,8364,2020-11-22,,fedex,Delivered
242,3519,2020-08-25,,fedex,Delivered
243,2201,2020-07-02,,fedex,Delivered
244,6955,2020-06-27,,fedex,Delivered
245,18257,2023-08-25,,fedex,Delivered
246,12856,2021-07-11,,fedex,Delivered
247,12964,2020-12-21,,fedex,Delivered
248,6413,2020-04-09,,fedex,Delivered
249,13373,2024-01-04,,fedex,Delivered
250,18035,2023-11-29,,fedex,Delivered
251,9456,2023-11-04,,fedex,Delivered
252,10908,2021-10-12,,fedex,Delivered
253,6097,2021-09-24,,fedex,Delivered
254,4745,2024-01-21,,fedex,Delivered
255,18603,2023-02-12,,fedex,Delivered
256,2089,2022-06-13,,fedex,Delivered
257,12989,2022-02-28,,fedex,Delivered
258,5781,2021-11-04,,fedex,Delivered
259,11206,2020-08-13,,fedex,Delivered
260,7846,2023-02-03,,fedex,Delivered
261,9792,2023-01-18,,fedex,Delivered
262,19051,2022-05-07,,fedex,Delivered
263,15065,2020-07-30,,fedex,Delivered
264,10526,2022-12-23,,fedex,Delivered
265,16116,2022-11-26,,fedex,Delivered
266,12782,2022-09-24,,fedex,Delivered
267,3951,2022-03-06,,fedex,Delivered
268,17785,2021-07-03,,fedex,Delivered
269,6731,2021-06-21,,fedex,Delivered
270,13519,2020-03-11,,fedex,Delivered
271,11906,2021-12-07,,fedex,Delivered
272,2689,2020-06-11,,fedex,Delivered
273,17484,2023-10-06,,fedex,Delivered
274,12144,2023-08-07,,fedex,Delivered
275,8112,2024-01-30,,fedex,Delivered
276,7162,2023-11-27,,fedex,Delivered
277,3303,2023-09-14,,fedex,Delivered
278,9612,2022-02-18,,fedex,Delivered
279,14371,2022-01-06,,fedex,Delivered
280,9038,2020-05-16,,fedex,Delivered
281,14067,2023-06-09,,fedex,Delivered
282,1821,2022-10-19,,fedex,Delivered
283,17669,2020-12-15,,fedex,Delivered
284,19027,2020-05-31,,fedex,Delivered
285,19807,2020-03-07,,fedex,Delivered
286,15115,2022-03-24,,fedex,Delivered
287,1995,2020-12-12,,fedex,Delivered
288,15912,2020-06-27,,fedex,Delivered
289,3597,2023-11-30,,fedex,Delivered
290,5317,2024-01-29,,fedex,Delivered
291,5097,2023-08-11,,fedex,Delivered
292,12242,2021-03-20,,fedex,Delivered
293,3251,2024-01-15,,fedex,Delivered
294,7200,2022-10-06,,fedex,Delivered
295,5863,2021-04-12,,fedex,Delivered
296,5561,2023-01-28,,fedex,Delivered
297,17599,2021-12-20,,fedex,Delivered
298,5,2020-10-01,,fedex,Delivered
299,10374,2022-11-16,,fedex,Delivered
300,19257,2022-09-24,,fedex,Delivered
301,5003,2021-11-28,,fedex,Delivered
302,16640,2020-04-10,,fedex,Delivered
303,5399,2024-01-14,,fedex,Delivered
304,18231,2023-12-29,,fedex,Delivered
305,6073,2023-06-06,,fedex,Delivered
306,6965,2022-02-24,,fedex,Delivered
307,14391,2021-12-09,,fedex,Delivered
308,15874,2021-05-31,,fedex,Delivered
309,6143,2021-03-09,,fedex,Delivered
310,1291,2021-01-11,,fedex,Delivered
311,5747,2020-10-23,,fedex,Delivered
312,14883,2022-05-06,,fedex,Delivered
313,7900,2021-09-12,,fedex,Delivered
314,15671,2021-02-24,,fedex,Delivered
315,13807,2020-12-23,,fedex,Delivered
316,7512,2020-05-05,,fedex,Delivered
317,18501,2020-04-20,,fedex,Delivered
318,11982,2023-08-12,,fedex,Delivered
319,17977,2022-07-06,,fedex,Delivered
320,8894,2021-02-21,,fedex,Delivered
321,6355,2021-02-09,,fedex,Delivered
322,10124,2020-12-14,,fedex,Delivered
323,9744,2020-12-02,,fedex,Delivered
324,19805,2020-10-19,,fedex,Delivered
325,4773,2020-07-05,,fedex,Delivered
326,19953,2020-07-05,,fedex,Delivered
327,4637,2020-06-30,,fedex,Delivered
328,5619,2020-05-12,,fedex,Delivered
329,6957,2022-03-27,,fedex,Delivered
330,10580,2021-10-15,,fedex,Delivered
331,7822,2021-09-04,,fedex,Delivered
332,5505,2021-06-02,,fedex,Delivered
333,16992,2021-10-23,,fedex,Delivered
334,9576,2021-07-05,,fedex,Delivered
335,14775,2021-02-14,,fedex,Delivered
336,4295,2021-01-30,,fedex,Delivered
337,16704,2020-06-02,,fedex,Delivered
338,9832,2022-08-24,,fedex,Delivered
339,2033,2022-07-12,,fedex,Delivered
340,5429,2020-02-12,,fedex,Delivered
341,10402,2024-02-05,,fedex,Delivered
342,17298,2020-05-01,,fedex,Delivered
343,2001,2023-07-25,,fedex,Delivered
344,16320,2022-12-25,,fedex,Delivered
345,5557,2021-09-28,,fedex,Delivered
346,16400,2021-03-18,,fedex,Delivered
347,6211,2020-09-04,,fedex,Delivered
348,7870,2024-01-22,,fedex,Delivered
349,11740,2023-06-14,,fedex,Delivered
350,16568,2022-11-02,,fedex,Delivered
351,3867,2021-01-15,,fedex,Delivered
352,2445,2023-11-03,,fedex,Delivered
353,13715,2023-05-20,,fedex,Delivered
354,15019,2020-11-24,,fedex,Delivered
355,8848,2021-11-15,,fedex,Delivered
356,8534,2021-09-24,,fedex,Delivered
357,19119,2020-10-06,,fedex,Delivered
358,14079,2020-08-05,,fedex,Delivered
359,14247,2020-05-24,,fedex,Delivered
360,8680,2022-08-12,,fedex,Delivered
361,4283,2021-01-07,,fedex,Delivered
362,3971,2020-11-10,,fedex,Delivered
363,10530,2020-04-26,,fedex,Delivered
364,16620,2023-10-04,,fedex,Delivered
365,15776,2023-02-26,,fedex,Delivered
366,9080,2022-12-25,,fedex,Delivered
367,14637,2022-08-24,,fedex,Delivered
368,6185,2021-11-10,,fedex,Delivered
369,15603,2020-06-15,,fedex,Delivered
370,18553,2023-10-13,,fedex,Delivered
371,5113,2022-01-30,,fedex,Delivered
372,13967,2020-12-11,,fedex,Delivered
373,4727,2020-05-23,,fedex,Delivered
374,11088,2023-08-16,,fedex,Delivered
375,19561,2022-10-27,,fedex,Delivered
376,15764,2021-08-31,,fedex,Delivered
377,13279,2021-06-12,,fedex,Delivered
378,1565,2021-04-13,,fedex,Delivered
379,9818,2021-01-08,,fedex,Delivered
380,13111,2022-06-18,,fedex,Delivered
381,18793,2022-03-20,,fedex,Delivered
382,2037,2021-12-10,,fedex,Delivered
383,1717,2021-11-12,,fedex,Delivered
384,1967,2021-08-07,,fedex,Delivered
385,17589,2023-11-04,,fedex,Delivered
386,17749,2021-05-25,,fedex,Delivered
387,8456,2022-09-21,,fedex,Delivered
388,11886,2021-07-01,,fedex,Delivered
389,10022,2023-08-28,,fedex,Delivered
390,1373,2020-03-19,,fedex,Delivered
391,12312,2023-08-12,,fedex,Delivered
392,7344,2023-08-14,,fedex,Delivered
393,12292,2021-07-19,,fedex,Delivered
394,8192,2023-09-06,,fedex,Delivered
395,883,2023-03-20,,fedex,Delivered
396,13739,2023-12-28,,fedex,Delivered
397,13093,2023-03-18,,fedex,Delivered
398,9234,2020-03-03,,fedex,Delivered
399,9564,2020-01-13,,fedex,Delivered
400,3009,2023-12-04,,fedex,Delivered
401,4223,2023-10-23,,fedex,Delivered
402,15738,2023-05-07,,fedex,Delivered
403,19175,2021-10-30,,fedex,Delivered
404,3811,2021-09-30,,fedex,Delivered
405,19039,2020-10-07,,fedex,Delivered
406,16316,2023-05-18,,fedex,Delivered
407,16062,2023-02-28,,fedex,Delivered
408,18427,2023-09-08,,fedex,Delivered
409,6763,2020-07-17,,fedex,Delivered
410,19947,2020-06-17,,fedex,Delivered
411,15381,2022-10-11,,fedex,Delivered
412,15075,2022-08-01,,fedex,Delivered
413,14879,2022-05-11,,fedex,Delivered
414,6347,2020-12-26,,fedex,Delivered
415,3483,2020-07-31,,fedex,Delivered
416,7056,2020-04-24,,fedex,Delivered
417,6849,2024-01-07,,fedex,Delivered
418,16054,2023-08-26,,fedex,Delivered
419,14859,2022-02-14,,fedex,Delivered
420,7776,2020-07-10,,fedex,Delivered
421,18381,2020-06-12,,fedex,Delivered
422,4845,2020-02-24,,fedex,Delivered
423,9748,2023-12-21,,fedex,Delivered
424,11656,2023-04-14,,fedex,Delivered
425,12690,2022-03-19,,fedex,Delivered
426,6111,2021-04-14,,fedex,Delivered
427,17965,2020-11-11,,fedex,Delivered
428,9784,2024-01-03,,fedex,Delivered
429,16916,2023-08-10,,fedex,Delivered
430,2625,2023-06-16,,fedex,Delivered
431,6707,2023-01-28,,fedex,Delivered
432,5179,2022-01-19,,fedex,Delivered
433,8328,2021-04-11,,fedex,Delivered
434,17424,2020-06-29,,fedex,Delivered
435,6517,2021-04-05,,fedex,Delivered
436,16268,2020-10-09,,fedex,Delivered
437,15455,2020-04-08,,fedex,Delivered
438,12278,2023-09-21,,fedex,Delivered
439,12258,2023-08-01,,fedex,Delivered
440,8278,2021-08-18,,fedex,Delivered
441,1185,2021-07-25,,fedex,Delivered
442,10084,2020-02-29,,fedex,Delivered
443,15730,2022-07-27,,fedex,Delivered
444,17166,2021-05-18,,fedex,Delivered
445,15263,2020-03-08,,fedex,Delivered
446,15774,2024-01-22,,fedex,Delivered
447,2859,2023-11-20,,fedex,Delivered
448,8470,2023-01-15,,fedex,Delivered
449,3975,2022-12-04,,fedex,Delivered
450,17272,2022-10-29,,fedex,Delivered
451,7734,2022-06-09,,fedex,Delivered
452,17811,2021-01-09,,fedex,Delivered
453,1283,2020-07-17,,fedex,Delivered
454,11814,2020-06-15,,fedex,Delivered
455,7228,2023-10-02,,fedex,Delivered
456,19129,2021-01-21,,fedex,Delivered
457,4043,2022-05-28,,fedex,Delivered
458,4009,2020-09-22,,fedex,Delivered
459,3709,2023-09-11,,fedex,Delivered
460,12612,2022-09-11,,fedex,Delivered
461,12348,2022-07-12,,fedex,Delivered
462,11612,2021-07-22,,fedex,Delivered
463,13021,2021-02-14,,fedex,Delivered
464,325,2022-09-17,,fedex,Delivered
465,9724,2022-09-12,,fedex,Delivered
466,13891,2022-08-17,,fedex,Delivered
467,19345,2022-04-21,,fedex,Delivered
468,6373,2020-08-10,,fedex,Delivered
469,7372,2020-07-13,,fedex,Delivered
470,1743,2020-05-04,,fedex,Delivered
471,9604,2023-05-01,,fedex,Delivered
472,12952,2022-03-27,,fedex,Delivered
473,443,2022-01-30,,fedex,Delivered
474,18205,2023-02-13,,fedex,Delivered
475,5377,2022-07-27,,fedex,Delivered
476,10262,2022-06-18,,fedex,Delivered
477,10612,2022-05-24,,fedex,Delivered
478,15111,2021-11-20,,fedex,Delivered
479,3385,2021-01-26,,fedex,Delivered
480,18545,2023-11-20,,fedex,Delivered
481,4731,2023-01-31,,fedex,Delivered
482,599,2023-01-02,,fedex,Delivered
483,6053,2022-03-27,,fedex,Delivered
484,8924,2021-07-13,,fedex,Delivered
485,3787,2023-01-11,,fedex,Delivered
486,6423,2022-12-30,,fedex,Delivered
487,4047,2021-05-17,,fedex,Delivered
488,8936,2023-09-23,,fedex,Delivered
489,2139,2022-12-31,,fedex,Delivered
490,1251,2022-10-13,,fedex,Delivered
491,1723,2021-07-28,,fedex,Delivered
492,14163,2021-07-23,,fedex,Delivered
493,699,2021-04-19,,fedex,Delivered
494,1487,2020-04-19,,fedex,Delivered
495,8164,2020-02-05,,fedex,Delivered
496,10350,2023-09-04,,fedex,Delivered
497,8454,2022-08-13,,fedex,Delivered
498,11374,2023-09-29,,fedex,Delivered
499,6395,2023-07-01,,fedex,Delivered
500,15876,2023-05-10,,fedex,Delivered
501,18115,2022-11-02,,fedex,Delivered
502,17162,2022-03-10,,fedex,Delivered
503,17661,2021-06-20,,fedex,Delivered
504,2493,2023-12-29,,fedex,Delivered
505,16428,2021-03-15,,fedex,Delivered
506,3183,2020-12-07,,fedex,Delivered
507,17442,2020-05-29,,fedex,Delivered
508,17276,2020-01-02,,fedex,Delivered
509,217,2024-01-04,,fedex,Delivered
510,16896,2023-11-27,,fedex,Delivered
511,4759,2023-06-30,,fedex,Delivered
512,55,2023-06-21,,fedex,Delivered
513,981,2023-09-06,,fedex,Delivered
514,18971,2023-08-23,,fedex,Delivered
515,8084,2022-02-28,,fedex,Delivered
516,771,2021-07-15,,fedex,Delivered
517,16510,2022-04-07,,fedex,Delivered
518,14537,2021-05-17,,fedex,Delivered
519,6313,2023-10-01,,fedex,Delivered
520,13419,2022-06-07,,fedex,Delivered
521,1429,2021-05-08,,fedex,Delivered
522,15792,2020-06-20,,fedex,Delivered
523,8586,2022-10-23,,fedex,Delivered
524,12534,2022-03-30,,fedex,Delivered
525,11922,2021-02-06,,fedex,Delivered
526,5639,2020-04-20,,fedex,Delivered
527,909,2023-11-24,,fedex,Delivered
528,5077,2023-07-23,,fedex,Delivered
529,13081,2021-06-22,,fedex,Delivered
530,17274,2020-07-20,,fedex,Delivered
531,4667,2023-11-30,,fedex,Delivered
532,19779,2022-08-01,,fedex,Delivered
533,19735,2021-05-10,,fedex,Delivered
534,13797,2021-02-09,,fedex,Delivered
535,5069,2020-08-25,,fedex,Delivered
536,2851,2024-01-13,,fedex,Delivered
537,19571,2022-05-09,,fedex,Delivered
538,5265,2021-11-02,,fedex,Delivered
539,19193,2024-01-31,,fedex,Delivered
540,9534,2023-12-29,,fedex,Delivered
541,5955,2021-10-19,,fedex,Delivered
542,2463,2024-01-08,,fedex,Delivered
543,10318,2023-05-14,,fedex,Delivered
544,19287,2022-09-08,,fedex,Delivered
545,17362,2022-02-09,,fedex,Delivered
546,761,2020-10-02,,fedex,Delivered
547,3191,2020-01-21,,fedex,Delivered
548,15185,2024-01-07,,fedex,Delivered
549,2433,2023-06-02,,fedex,Delivered
550,5555,2022-07-12,,fedex,Delivered
551,6433,2021-09-02,,fedex,Delivered
552,9874,2021-03-13,,fedex,Delivered
553,7042,2020-12-10,,fedex,Delivered
554,5667,2022-02-05,,fedex,Delivered
555,17096,2021-05-26,,fedex,Delivered
556,5311,2021-01-26,,fedex,Delivered
557,15483,2023-12-25,,fedex,Delivered
558,11828,2023-10-21,,fedex,Delivered
559,6293,2023-01-07,,fedex,Delivered
560,10716,2022-12-01,,fedex,Delivered
561,10134,2022-03-28,,fedex,Delivered
562,8106,2020-08-17,,fedex,Delivered
563,1325,2020-03-24,,fedex,Delivered
564,4151,2022-02-08,,fedex,Delivered
565,12432,2021-11-17,,fedex,Delivered
566,19091,2020-02-16,,fedex,Delivered
567,3101,2021-09-11,,fedex,Delivered
568,6311,2020-07-22,,fedex,Delivered
569,6569,2020-06-08,,fedex,Delivered
570,9544,2024-02-12,,fedex,Delivered
571,1137,2022-12-22,,fedex,Delivered
572,8804,2022-09-12,,fedex,Delivered
573,9484,2021-02-24,,fedex,Delivered
574,13721,2024-01-09,,fedex,Delivered
575,8500,2022-12-13,,fedex,Delivered
576,10484,2021-03-13,,fedex,Delivered
577,17120,2023-04-07,,fedex,Delivered
578,15728,2022-08-18,,fedex,Delivered
579,213,2021-05-09,,fedex,Delivered
580,16650,2023-01-30,,fedex,Delivered
581,2349,2022-12-31,,fedex,Delivered
582,19451,2021-02-17,,fedex,Delivered
583,10146,2022-07-10,,fedex,Delivered
584,18741,2021-07-30,,fedex,Delivered
585,14225,2020-04-07,,fedex,Delivered
586,11450,2021-12-21,,fedex,Delivered
587,18377,2020-12-21,,fedex,Delivered
588,17967,2020-10-30,,fedex,Delivered
589,7556,2020-05-31,,fedex,Delivered
590,18145,2023-02-28,,fedex,Delivered
591,3665,2021-11-09,,fedex,Delivered
592,15105,2021-01-01,,fedex,Delivered
593,15952,2020-06-28,,fedex,Delivered
594,16556,2020-04-17,,fedex,Delivered
595,8864,2023-02-14,,fedex,Delivered
596,17094,2020-02-25,,fedex,Delivered
597,14961,2024-02-05,,fedex,Delivered
598,6729,2023-02-22,,fedex,Delivered
599,16646,2022-12-07,,fedex,Delivered
600,8788,2021-10-03,,fedex,Delivered
601,5163,2021-02-01,,fedex,Delivered
602,16130,2020-08-13,,fedex,Delivered
603,16008,2020-03-22,,fedex,Delivered
604,14185,2022-03-11,,fedex,Delivered
605,13939,2020-10-20,,fedex,Delivered
606,6291,2020-09-22,,fedex,Delivered
607,3333,2020-06-24,,fedex,Delivered
608,9166,2023-06-22,,fedex,Delivered
609,18799,2022-09-07,,fedex,Delivered
610,3979,2021-07-16,,fedex,Delivered
611,11576,2021-04-10,,fedex,Delivered
612,4407,2023-08-27,,fedex,Delivered
613,3909,2021-08-25,,fedex,Delivered
614,1241,2020-04-22,,fedex,Delivered
615,12436,2023-05-15,,fedex,Delivered
616,12870,2021-11-28,,fedex,Delivered
617,10894,2020-04-29,,fedex,Delivered
618,16422,2020-01-28,,fedex,Delivered
619,1043,2024-01-07,,fedex,Delivered
620,1747,2020-10-13,,fedex,Delivered
621,11196,2020-05-13,,fedex,Delivered
622,15121,2022-09-12,,fedex,Delivered
623,6751,2021-04-06,,fedex,Delivered
624,15559,2020-03-22,,fedex,Delivered
625,18485,2023-10-15,,fedex,Delivered
626,6209,2023-02-16,,fedex,Delivered
627,2011,2021-05-18,,fedex,Delivered
628,6909,2021-04-20,,fedex,Delivered
629,10970,2023-03-30,,fedex,Delivered
630,14919,2021-10-15,,fedex,Delivered
631,19179,2021-06-11,,fedex,Delivered
632,19981,2021-01-10,,fedex,Delivered
633,769,2020-10-13,,fedex,Delivered
634,15665,2021-02-25,,fedex,Delivered
